Warning_Level,Precision,Recall,F1_Score,Support
CRITICAL_LOCKDOWN,99.37979917306556,99.02884049440847,99.20400943396226,3398
HIGH_RESTRICTIONS,99.08996359854395,98.85862516212711,98.97415920010388,3855
LOW_MONITORING,92.73743016759776,98.22485207100591,95.40229885057471,169
MODERATE_MEASURES,97.80590717299577,98.72231686541738,98.26197541331072,1174
